    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   125243038     0.476856    -0.496408      0.65926      195.562      1378.11      941.745   1.4293e+13   1.3643e+13     0.569311
   129874881      1.22191     -0.64513     0.801627      1213.11      885.407      1272.85   1.1532e+13   1.1532e+13      0.54565
    17363329     0.263205    -0.251015     0.212324     -48.2722      567.403      208.528   2.6389e+13    2.448e+13     0.640833
   110100751      5.51242   -0.0712398     0.547249     -1287.56      613.602      170.345   1.2344e+13   1.2019e+13     0.538478
   106259005      5.75039   -0.0229791      0.80193     -1516.51      1243.71       177.34   1.5267e+13   1.5267e+13     0.599167
    17380637    0.0305126    -0.582166      0.26119     -189.562      541.783      462.613    8.794e+13   8.1845e+13     0.969942
   125341873     0.400096    -0.593522     0.715528      84.2461      1380.09       1148.3    1.608e+13   1.5917e+13     0.602805
   111245813      5.99237    -0.690645     0.621229     -729.047      883.782       1116.1   1.2344e+13   1.1532e+13     0.535996
   123441121     0.546477    -0.424865     0.407042      202.435      938.736      552.104   1.6729e+13   1.5755e+13     0.576863
   124121551     0.823637   -0.0259566     0.421639      524.766      1007.46      128.412    1.608e+13   1.3643e+13     0.551226
   139664663      1.58879    -0.126459     0.598825      1456.98      475.273      237.416   1.0232e+13   9.7452e+12     0.505409
   123017312      1.05426     -1.21751      0.79319      447.589      328.134      1871.73   1.0557e+13   1.0232e+13     0.523959
   117357896     0.220201    -0.853685     0.546588     -113.906      822.857      1170.04   3.7844e+13   3.6544e+13     0.780033
   119611754      0.10281    -0.179555     0.769946      -451.37      1777.19      522.601   2.0952e+13   2.0302e+13     0.657064
   140236784      1.33626    0.0483517     0.658238      1400.78      924.588       4.6416   1.2506e+13   1.2506e+13     0.552975
   130305300      1.05507 -0.000844305     0.521723      896.887      1041.95      101.477   2.3876e+13   2.3226e+13     0.668387
     8239987     0.394528     -0.31144     0.337961      43.9534      856.824      373.973   1.6409e+13   1.5672e+13     0.568471
   131148150     0.888557   -0.0588333     0.658633      865.023      1419.56      237.569   2.6637e+13   2.4038e+13     0.687566
   104142730      5.32368    -0.413453     0.604227     -1378.19      309.076      668.439   6.7242e+13   6.4805e+13     0.951039
