HALOID,PMEM,Strength,MEM_MATCH_ID,Rank
17190342,150.75944519,0.848976910114,1,1
18063370,3.70111393929,0.020842211321,1,2
18111705,3.39409017563,0.0191132575274,1,3
18111711,2.4291241169,0.0136792110279,1,4
18116146,2.35331916809,0.01325232815,1,5
18055776,1.60325109959,0.00902844406664,1,6
17203256,1.52822613716,0.00860595330596,1,7
18069554,1.23335921764,0.00694545870647,1,8
18149057,0.910441279411,0.00512699969113,1,9
18161127,0.888107895851,0.00500123295933,1,10
17211253,0.845299482346,0.00476016430184,1,11
18129350,0.829864442348,0.00467324443161,1,12
18073997,0.812010884285,0.00457270536572,1,13
18076021,0.792276382446,0.00446157343686,1,14
18098226,0.768913984299,0.004330012016,1,15
18080169,0.720089793205,0.00405506696552,1,16
18142624,0.702982366085,0.00395872909576,1,17
18139169,0.602263092995,0.00339154526591,1,18
17156084,0.552823722363,0.00311313546263,1,19
18145584,0.524814963341,0.00295540876687,1,20
19029317,0.331516444683,0.00186688010581,1,21
17209405,0.302327364683,0.00170250667725,1,22
18077586,0.281254142523,0.00158383627422,1,23
17139825,0.260182619095,0.00146517541725,1,24
18091770,0.149485424161,0.000841802509967,1,25
19016242,0.128674253821,0.000724607787561,1,26
18116144,0.0861869975924,0.000485347845824,1,27
18053315,0.0581934079528,0.000327706569806,1,28
18145583,0.0281419698149,0.000158476861543,1,29
9815377,157.074447632,0.842962145805,2,1
9815372,9.67074584961,0.0518994182348,2,2
9883913,2.75925850868,0.0148079488426,2,3
9897166,2.62087225914,0.0140652796254,2,4
9822238,2.15614390373,0.0115712499246,2,5
9815373,1.59531104565,0.0085614612326,2,6
9909411,0.965412795544,0.00518102385104,2,7
9830598,0.945379257202,0.0050735110417,2,8
9906520,0.925078392029,0.00496456352994,2,9
9778886,0.900678634644,0.00483361864462,2,10
9885893,0.889680027962,0.00477459328249,2,11
9844734,0.75829988718,0.00406952295452,2,12
9849367,0.747473180294,0.0040114200674,2,13
9771035,0.707970380783,0.00379942264408,2,14
9819285,0.624323785305,0.00335052143782,2,15
9791275,0.436690151691,0.002343559172,2,16
9840710,0.422206670046,0.00226583145559,2,17
9967330,0.397116869688,0.00213118363172,2,18
15694526,0.259900689125,0.00139479362406,2,19
9891770,0.237067058682,0.00127225369215,2,20
9837875,0.233871847391,0.00125510618091,2,21
9958417,0.197848454118,0.00106178154238,2,22
9763432,0.166683599353,0.000894530967344,2,23
15757837,0.143948018551,0.000772517290898,2,24
9834951,0.132947996259,0.000713484128937,2,25
9962306,0.115867614746,0.000621819868684,2,26
9906521,0.111157625914,0.000596543017309,2,27
15766487,0.104805253446,0.000562452129088,2,28
9965231,0.0225299205631,0.000120909986435,2,29
10014454,0.0125781726092,6.75025366945e-05,2,30
18053007,148.161193848,0.876157164574,3,1
18053012,6.5192065239,0.0385515913367,3,2
18071661,2.3570933342,0.0139387659729,3,3
