    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
   115456574      254.551      72.9913     0.330414     -71.4351      258.474      876.647   2.2251e+13       658.98
    16066731      196.186      56.6988     0.332521     -486.205      141.124      770.691   3.6167e+12      355.672
   122488123      316.386      24.2603     0.302703      558.207      531.825      347.474    8.121e+12      502.182
     9374421      297.271      11.9226     0.303452      379.992       737.15      175.108   8.5395e+12      476.155
    10353456      343.384      15.8522     0.269183      698.982      208.588       207.13   5.0567e+12      415.464
     5883445      318.209       73.253     0.241626      147.216      131.585      656.186   7.9467e+13       1001.3
     4888691      252.093     0.449786     0.154258     -137.344      425.053      3.50671   3.3488e+12      340.371
     5846822      288.993      68.3655     0.176643      61.0547      177.387      472.992   1.1419e+13      516.034
     8524867      338.898      66.0992     0.313859      330.515      127.551      799.434   8.9748e+12      498.858
    10711860      324.637      39.7758     0.311082      543.576      385.767      554.874    2.947e+12      350.989
   121761899      313.863      74.6063      0.32195      164.655      171.322      863.037   2.9235e+12      329.642
     9108776      302.094      11.8546     0.280067      409.135      652.367      161.638   1.0482e+13       513.53
     8879554      316.595      10.5483     0.256393      517.477       489.44      132.634   4.2095e+13      836.315
   127819740      344.903      13.3757     0.328255      855.931      230.896      210.803   5.7659e+13       915.18
     4695689      238.374      63.8993     0.158673     -105.892      171.953      412.203   2.9804e+12      363.913
     4584276      185.788      71.8526     0.283387     -246.507       24.985      755.937   4.5879e+12      384.556
    15404264      230.635      7.24341     0.337433     -588.028      716.776      117.836   2.4312e+13      688.304
   121671956      347.442      39.1587     0.305037      644.614      143.588      537.827   2.1114e+12      350.068
     6287148      283.143      15.1603       0.2691      166.375      712.511      198.248   3.3153e+12      341.415
     5644219       337.52      32.3352    0.0776085      178.583      73.8966      122.345   3.3153e+12      332.919
     8656618      334.247      43.5081     0.235208      436.422      210.532       459.95   6.7311e+12      436.503
    18800348      354.785      59.6487     0.183013      264.885      24.1786      454.245   3.0474e+12      352.883
    18781209      354.266      45.1779      0.15103      306.985      30.8258      310.451    7.133e+12       436.35
    12746566      345.875       23.551     0.329289       812.43      204.446      365.155   3.8846e+12      365.456
     5020251      251.411      52.6468     0.255477      -139.66      415.254      573.996   3.1814e+12       338.17
    17004748      261.232      58.3424     0.133887     -31.1663      202.069      331.594    8.439e+12      470.259
    18876453      317.902      21.3885     0.219998      433.322      391.515       228.73   4.5544e+12      382.072
    12388251      356.624      10.9166      0.31159      851.387      50.2213      164.493   4.1525e+12      375.411
   122622591      311.387      53.1379     0.309149      342.001      388.102      689.914   7.9585e+12      456.893
   116337537      264.554      55.5308     0.317124     -47.4185      497.374      727.804   2.5987e+12      340.483
    18294144      289.014      56.7986     0.265406      133.502      387.418      626.169    2.746e+12      331.181
     3390526      213.421      36.1108     0.161215     -314.279      207.396      274.688   3.3488e+12      335.034
     5301349      263.903      23.1802     0.281923     -77.3023      723.653      311.625   2.2671e+13      675.832
      285736      195.168      11.7014     0.326826     -857.779      232.538      184.073   2.7795e+12      341.334
    16419386      242.565      13.7817     0.227127     -289.246      557.188      153.988   2.1231e+13      677.245
    17518733      254.256      13.8523     0.297613     -219.323      777.972      199.319   6.7981e+12      457.989
   109350320      188.658       39.634     0.326105      -689.61      105.013       577.77    3.086e+12      346.448
    18348957      285.995      6.10321     0.203958      159.928      557.931      62.0598   4.9562e+12      393.983
    16254804      228.902      6.15934     0.186431     -350.168      401.427      57.4864    2.746e+12      322.341
   122629622      278.838      46.9181      0.32362      94.3928      607.047      656.917   4.0605e+12      361.345
